word,bVoice_sym1,bVoice_sym2
am, ɛm,
are, aɚ,
be, bi,
been, bɪn,
being,'bi ɪŋ,
is, ɪz,
was, wʌz,
were, wɚ,
I, aɪ,
you, ju,
the, ðʌ, ði
a, eɪ,
an, æn,
to, tu,
it, ɪt,
not, nɑt,
that, ðæt,
those, ðoʊz,
and, ænd,
of, ʌv,
did, dɪd,
do, du,
does, dʌz,
doing,'du wɪŋ,
done, dʌn,
had, hæd,
has, hæz,
have, hæv,
having,'hæ vɪŋ,
what, wʌt,
we, wi,
in, ɪn,
get, gɛt,
gets, gɛts,
getting,'gɛ ɾɪŋ,
got, gɑt,
gotten,'gɔ ɾɪn,
these, ðiz,
this, ðɪs,
mine, maɪn,
my, maɪ,
me, mi,
go, goʊ,
goes, goʊz,
going,'goʊ wɪŋ,
gone, gɔn,
went, wɛnt,
oh, oʊ,
can, kæn,
cannot, kə 'nɑt,
could, kʊd,
no, noʊ,
on, ɔn,
for, foɚ,
knew, nu,
know, noʊ,
knowing,'noʊ wɪŋ,
known, noʊn,
knows, noʊz,
just, ʤʌst,
your, joɚ,
s, ɛs,
all, ɔl,
so, soʊ,
with, wɪθ,
he, hi,
but, bʌt,
yeah, jɛ,
well, wɛl,
think, θɪŋk,
thinking,'θɪŋ kɪŋ,
thinks, θɪŋks,
thought, θɔt,
here, hiɚ,
want, wɑnt,
wanted,'wɑn tɪd,
wanting,'wɑ nɪŋ,
wants, wɑns,
out, aʊt,
about, ʌ 'baʊt,
best, bɛst,
better,'bɛ ɾɚ,
good, gʊd,
came, keɪm,
come, kʌm,
comes, kʌmz,
coming,'kʌ mɪŋ,
up, ʌp,
said, sɛd,
say, seɪ,
saying,'seɪ ɪŋ,
says, sɛz,
now, naʊ,
at, æt,
one, wʌn,
ones, wʌnz,
hey, heɪ,
they, ðeɪ,
saw, sɔ,
see, si,
seeing,'si ɪŋ,
seen, sin,
sees, siz,
if, ɪf,
how, haʊ,
like, laɪk,
liked, laɪkt,
likes, laɪks,
liking,'laɪ kɪŋ,
she, ʃi,
look, lʊk,
looked, lʊkt,
looking,'lʊ kɪŋ,
looks, lʊks,
made, meɪd,
make, meɪk,
makes, meɪks,
making,'meɪ kɪŋ,
right, ɹaɪt,
guy, gaɪ,
guys, gaɪz,
take, teɪk,
taken,'teɪ kən,
takes, teɪks,
taking,'teɪ kɪŋ,
took, tʊk,
let, lɛt,
lets, lɛts,
letting,'lɛ ɾɪŋ,
really,'ɹi li,
okay, oʊ 'keɪ,
her, hɚ,
uh, ʌ,
um, ʌm,
tell, tɛl,
telling,'tɛ lɪŋ,
tells, tɛlz,
told, toʊld,
him, hɪm,
why, waɪ,
there, ðeɚ,
who, hu,
time, taɪm,
times, taɪmz,
thing, θɪŋ,
things, θɪŋz,
from, fɹʌm,
will, wɪl,
willing,'wɪ lɪŋ,
would, wʊd,
when, wɛn,
as, æz,
because, bɪ 'kʌz,
some, sʌm,
our,'aʊ wɚ,
yes, jɛs,
back, bæk,
mean, min,
meaning,'mi nɪŋ,
means, minz,
meant, mɛnt,
man, mæn,
men, mɛn,
little,'lɪ ɾəl,
gave, geɪv,
give, gɪv,
given,'gɪ vən,
gives, gɪvz,
giving,'gɪ vɪŋ,
his, hɪz,
us, ʌs,
them, ðɛm,
need, nid,
needed,'ni ɾəd,
needing,'ni dɪŋ,
needs, nidz,
then, ðɛn,
shall, ʃæl,
should, ʃʊd,
or, oɚ,
talk, tɑk,
talked, tɑkt,
talking,'tɔ kɪŋ,
talks, tɔks,
OK,'oʊ keɪ,
something,'sʌm θɪŋ,
where, weɚ,
great, gɹeɪt,
greater,'gɹeɪ ɾɚ,
greatest,'gɹeɪ ɾɪst,
way, weɪ,
ways, weɪz,
never,'nɛ vɚ,
call, kɔl,
called, kɔld,
calling,'kɔ lɪŋ,
calls, kɑlz,
too, tu,
by, baɪ,
sorry,'sɑ ɹi,
over,'oʊ vɚ,
love, lʌv,
loved, lʌvd,
loves, lʌvz,
loving,'lʌ vɪŋ,
wait, weɪt,
waited,'weɪ ɾɪd,
waiting,'weɪ ɾɪŋ,
waits, weɪts,
more, moɚ,
down, daʊn,
day, deɪ,
days, deɪz,
two, tu,
twos, tuz,
people,'pi pəl,
God, gɑd,
very,'veɚ ɹi,
off, ɔf,
work, wɚk,
worked, wɚkt,
working,'wɚ kɪŋ,
works, wɚks,
thank, θeɪŋk,
thanked, θæŋkt,
thanking,'θeɪŋ kɪŋ,
thanks, θeɪŋks,
big, bɪg,
bigger,'bɪ gɚ,
biggest,'bɪ gɪst,
tried, tɹaɪd,
tries, ʧɹaɪz,
try, tɹɑɪ,
trying,'tɹaɪ ɪŋ,
dad, dæd,
dads, dædz,
maybe,'meɪ bi,
feel,'fi əl,
feeling,'fi lɪŋ,
feels, filz,
felt, fɛlt,
friend, fɹɛnd,
friends, fɹɛnz,
even,'i vɪn,
sure, ʃɚ,
find, faɪnd,
finding,'faɪn dɪŋ,
finds, faɪndz,
found, faʊnd,
kid, kɪd,
kids, kɪdz,
boy, boɪ,
boys, boɪz,
put, pʊt,
puts, pʊts,
putting,'pʊ ɾɪŋ,
please, pliz,
happen,'hæ pɪn,
happened,'hæ pənd,
happening,'hæ pə nɪŋ,
happens,'hæ pənz,
much, mʌʧ,
stop, stɑp,
stopped, stɑpt,
stopping,'stɑ pɪŋ,
stops, stɑps,
night, naɪt,
nights, naɪts,
bad, bæd,
worse, wɚs,
worst, wɚst,
into,'ɪn tu,
any,'ɛ ni,
first, fɚst,
leave, liv,
leaves, livz,
leaving,'li vɪŋ,
left, lɛft,
year, jiɚ,
years, jiɚz,
hear, hiɚ,
heard, hɚd,
hearing,'hiɚ ɹɪŋ,
hears, hiɚz,
ever,'ɛ vɚ,
Mr.,'mɪ stɚ,
again, ʌ 'gɛn,
use, juz,
used, juzd,
uses,'ju səz,
using,'ju zɪŋ,
mom, mɑm,
moms, mɑmz,
may, meɪ,
might, maɪt,
hi, haɪ,
life, laɪf,
lives, lɪvz,
nice, naɪs,
nicer,'naɪ sɚ,
nicest,'naɪ sɪst,
new, nu,
newer,'nu ɚ,
newest,'nu əst,
still, stɪl,
kind, kaɪnd,
kinds, kaɪnz,
anything,'ɛ ni θɪŋ,
only,'oʊn li,
babies,'beɪ biz,
baby,'beɪ bi,
than, ðæn,
fine, faɪn,
finest,'faɪ nəst,
hello, hə 'loʊ,
keep, kip,
keeping,'ki pɪŋ,
keeps, kips,
kept, kæpt,
girl,'gɚ əl,
girls,'gɚ əlz,
help, hɛlp,
helped, hɛlpt,
helping,'hɛl pɪŋ,
helps, hɛlps,
believe, bə 'liv,
believed, bɪ 'livd,
believes, bɪ 'livz,
believing, bɪ 'li vɪŋ,
woman,'wʊ mən,
women,'wɪ mɪn,
lot, lɑt,
lots, lɑts,
play, pleɪ,
played, pleɪd,
playing,'pleɪ ɪŋ,
plays, pleɪz,
ask, æsk,
asked, æst,
asking,'æ skɪŋ,
asks, æsks,
start, stɑɚt,
started,'stɑɚ tɪd,
starting,'stɑɚ tɪŋ,
starts, stɑɚts,
home, hoʊm,
homes, hoʊmz,
nothing,'nʌ θɪŋ,
hm, hm,
hmm, hʌm,
their, ðeɚ,
theirs, ðeɚz,
meet, mit,
meeting,'mi ɾɪŋ,
meets, mits,
met, mɛt,
huh, hʌ,
show, ʃoʊ,
showed, ʃoʊd,
showing,'ʃoʊ ɪŋ,
shown, ʃoʊn,
shows, ʃoʊz,
around, ə 'ɹaʊnd,
guess, gɛs,
guessed, gɛst,
guesses,'gɛ səz,
guessing,'gɛ sɪŋ,
old, oʊld,
older,'oʊl dɚ,
oldest,'oʊl dəst,
hell, hɛl,
before, bə 'foɚ,
always,'ɔl wiz,
three, θɹi,
threes, θɹiz,
wow, waʊ,
listen,'lɪ sən,
listened,'lɪ sənd,
listening,'lɪ sə nɪŋ,
listens,'lɪ sənz,
minute,'mɪ nɪt,
minutes,'mɪ nəts,
actually,'æk ʧə li,
ate, eɪt,
eat, it,
eaten,'i ɾən,
eating,'i ɾɪŋ,
eats, its,
place, pleɪs,
places,'pleɪ səz,
live, lɪv,
lived, lɪvd,
living,'lɪv ɪŋ,
away, ə 'weɪ,
after,'æf tɚ,
bring, bɹɪŋ,
bringing,'bɹɪŋ ɪŋ,
brings, bɹɪŋz,
brought, bɹɔt,
every,'ɛ vɹi,
everything,'e vɹi θɪŋ,
money,'mʌ ni,
person,'pɚ sɪn,
watch, wɑʧ,
watched, wɑʧt,
watches,'wɑ ʧɪz,
watching,'wɑ ʧɪŋ,
other,'ʌ ðɚ,
remember, ɹə 'mɛm bɚ,
remembered, ɹɪ 'mɛm bɚd,
remembering, ɹi 'mɛm bɹɪŋ,
remembers, ɹɪ 'mɛm bɚz,
house, haʊs,
houses,'haʊ səz,
wrong, ɹɔŋ,
kill, kɪl,
killed, kɪld,
killing,'kɪ lɪŋ,
kills, kɪlz,
school, skul,
schools, skulz,
everyone,'ɛ vɹi wʌn,
ran, ɹæn,
run, ɹʌn,
running,'ɹʌ nɪŋ,
runs, ɹʌnz,
late, leɪt,
later,'leɪ ɾɚ,
latest,'leɪ ɾɪst,
care, keɚ,
cared, keɚd,
cares,'keɪ ɚz,
caring,'keɚ ɹɪŋ,
car, kɑɚ,
cars, kɑz,
move, muv,
moved, muvd,
moves, muvz,
moving,'mu vɪŋ,
aah, ɑ,
ah, ɑ,
idea, aɪ 'di ə,
ideas, aɪ 'di əz,
another, ə 'nʌ ðɚ,
someone,'sʌm wʌn,
today, tə 'deɪ,
turn, tɚn,
turned, tɚnd,
turning,'tɚ nɪŋ,
turns, tɚnz,
real,'ɹi əl,
happier,'hæ pi ɚ,
happiest,'hæ pi əst,
happy,'hæ pi,
whole, hoʊl,
week, wik,
weeks, wiks,
job, ʤɑb,
jobs, ʤɑbz,
fun, fʌn,
problem,'pɹɑ bləm,
problems,'pɹɑ bləmz,
break, bɹeɪk,
breaking,'bɹeɪ kɪŋ,
breaks, bɹeɪks,
broke, bɹoʊk,
broken,'bɹoʊ kɪn,
world,'wɚ əld,
worlds, wɚldz,
which, wɪʧ,
must, mʌst,
parties,'pɑɚ tiz,
party,'pɑɚ ɾi,
bought, bɔt,
buy, baɪ,
buying,'baɪ jɪŋ,
buys, baɪz,
through, θɹu,
together, tə 'gɛ ðɚ,
room, ɹum,
rooms, ɹum,
families,'fæ mliz,
family,'fæ mli,
stay, steɪ,
stayed, steɪd,
staying,'steɪ ɪŋ,
stays, steɪz,
lose, luz,
loses,'lu zəz,
losing,'lu zɪŋ,
lost, lɔst,
stuff, stʌf,
son, sʌn,
sons, sɑnz,
stupid,'stu pɪd,
name, neɪm,
names, neɪmz,
everybody,'ɛ vɹi bʌ ɾi,
last, læst,
lasted,'læ stɪd,
lasting,'læ stɪŋ,
lasts, læsts,
long, lɔŋ,
longer,'lɔŋ gɚ,
longest,'lɑŋ gɪst,
tonight, tə 'naɪt,
child, ʧaɪld,
children,'ʧɪl ʤɹɪn,
sat, sæt,
sit, sɪt,
sits, sɪts,
sitting,'sɪ ɾɪŋ,
course, koɚs,
courses,'koɚ səz,
prettier,'pɹɪ ɾi ɚ,
prettiest,'pɹɪ ɾi əst,
pretty,'pɹɪ ɾi,
held, hɛld,
hold, hoʊld,
holding,'hoʊl dɪŋ,
holds, hoʊldz,
game, geɪm,
games, geɪmz,
forget, fɚ 'gɛt,
forgets, fɚ 'gɛts,
forgetting, fɚ 'gɛ ɾɪŋ,
forgot, fɚ 'gɑt,
forgotten, fɚ 'gɑ tɪn,
else, ɛls,
own, oʊn,
five, faɪv,
fives, faɪvz,
second,'sɛ kɪnd,
doctor,'dɑk tɚ / dɑk ɾɚ,
